term,tfidf_score
chatgpt,341.0246438825115
intelligence,317.83983367650933
artificial,311.8691214569716
artificial intelligence,295.35247148454727
bubble,281.74113783386196
ai bubble,182.9667097577914
like,142.20994069006863
just,137.81183011743536
com,132.7238183637425
people,109.34074030612443
new,108.66941207089255
use,97.84564999829362
tech,92.20747204603082
think,86.6512277485455
using,82.22545191402459
www,80.21525564156252
don,79.6889378468611
going,78.32852917890351
art,76.85835427238243
burst,71.9255303271906
make,71.52090759782715
time,71.35369115899535
know,67.0265110223214
openai,66.4154236546503
news,65.47819017487909
really,65.40905413601459
human,65.22535846589678
data,64.69760785240572
good,63.62683145546788
work,63.29451688837509
technology,60.904312821271525
ve,59.49102880384679
google,59.12234850660453
generative,57.99781909168685
world,54.68450179041892
social,53.77608318214799
bubble burst,52.349324247195035
used,51.340238370487086
real,51.13549791418402
way,50.638204831509256
want,50.046061771932926
need,49.37287571962163
generated,49.090103915708816
future,49.06405747600678
companies,48.9541296690436
intelligence ai,48.893731561975514
thing,48.83084874614923
things,48.55461321569497
right,47.29457625837679
artificial intelligence ai,46.79906683001497
better,44.70526095072704
big,44.483863051633065
post,44.066919529315875
generative ai,43.94822869598873
learning,43.83465435099579
write,43.477845763485185
say,43.37120640172536
lot,43.07753549792115
ll,42.99346401272937
read,42.881793910745735
bursts,42.76169735897209
help,42.524324909991
isn,42.04174592729891
money,41.589391634957
today,41.3732804158365
hype,40.85097768419998
actually,40.71670007610502
did,40.447917086262294
company,40.1996502644122
research,40.1554630316866
pop,39.90702875231587
bubble bursts,39.688994730805575
does,38.98120602540676
artificialintelligence,38.794696101271974
asked,38.587455309931364
bsky,38.34279216393273
years,37.876785526455265
market,37.81614750595527
ai bubble burst,37.595324095893915
models,37.533946745015776
open,37.470072798388514
day,36.95244019723451
business,36.68104655035387
content,36.539881578826495
year,36.4832555178349
bad,36.47867014317564
look,35.86436708080967
great,35.73521093577253
article,35.36419740971872
create,35.30598406486539
machine,35.25907667016937
doesn,35.25808533055999
tools,34.61699696831888
bsky social,34.399784894372566
image,34.31983776017879
microsoft,34.2726426571866
ai generated,34.23215848971254
making,34.005737146528645
said,33.86623059393655
shit,33.78973763473227
writing,33.708240893173596
2025,33.439241866264844
trump,33.42403660079052
point,33.23376268093571
model,33.20541600090472
let,33.1794775042415
sure,32.927208757536825
says,32.798002502059546
job,32.61633438443543
apple,32.202043014532016
search,32.029485630228415
trying,31.558661221150444
industry,31.414955688048405
long,31.233367855038594
love,31.079839342781103
won,31.078709372180004
nvidia,31.060422785179593
pops,30.9781104611982
power,30.951940485952914
language,30.29556969650139
2024,30.224931552516654
wait,30.22279515539444
tell,30.092936274015525
based,29.814589244552298
science,29.743923790770996
ai art,29.73427291657335
probably,29.73423897784703
stuff,29.72186729146981
crypto,29.56160418401567
ask,29.52391623641701
getting,29.287776183433447
got,29.246947995507078
ai bubble bursts,29.110222332109785
org,29.025109120956348
hope,28.923460105891984
llms,28.73496093662631
tool,28.675151231933523
makes,28.603616278554433
jobs,28.46656436997683
maybe,28.423832025177845
soon,28.255046718156155
doing,28.249166424841682
media,28.176778330755262
aiart,28.091232693647044
thought,27.742402519211367
start,27.68081056326114
llm,27.665690650353955
internet,27.610769259158594
best,27.598149783988763
general,27.53120756883547
mean,27.476900481284094
10,27.46695130504461
talk,27.446069205782802
powered,27.35036206924948
life,27.22397774521735
come,27.208006087078864
pretty,27.186891698976442
latest,27.10268991309764
end,26.93258098348438
stock,26.930450755154002
current,26.921855341287625
humans,26.81609550215832
2023,26.502479510947044
learn,26.439798571796878
oh,26.386143027410277
thinking,26.378689950347788
free,26.178495749292377
coming,25.8892346887342
text,25.49894854004608
bursting,25.42604037352116
public,25.339793449826317
video,25.067082117356588
app,25.04553327337365
code,24.93513500471824
students,24.837824275773293
idea,24.83375933481514
using chatgpt,24.780992233495212
little,24.749249853184928
gonna,24.709915350425753
bubble pops,24.679285935777102
week,24.564482036199614
images,24.49531571667305
kind,24.393046891787044
fucking,24.392419800733887
believe,24.26660139695536
dot,24.204954957269056
systems,24.104126907986817
bit,24.088228684803926
chatbot,23.94968127577573
china,23.925991213505206
looking,23.836444291228336
didn,23.791914956521545
try,23.778623946404938
prompt,23.72664931262657
written,23.59462886206945
check,23.578894587665825
gpt,23.572791225636113
musk,23.53483704677098
stop,23.533153386441946
far,23.50980242082667
bubble pop,23.508864639390882
book,23.490897004707488
asked chatgpt,23.48433881941448
understand,23.436379234442715
feel,23.41202738864151
information,23.07059094179577
users,22.90683712894868
created,22.87608292603697
using ai,22.856628436355706
use ai,22.855813143413222
saying,22.833154147585073
useful,22.556492497826124
true,22.53215931690814
computer,22.377612800619136
thanks,22.338589666903594
different,22.263236147829154
artists,22.24132914763838
economy,22.227393351889006
use chatgpt,22.226039412020743
machine learning,22.18165320652459
works,21.943807951192625
fun,21.8577387307808
education,21.771619566117103
aren,21.72308871395125
generate,21.707533082626775
game,21.522436147787012
needs,21.464808778276126
working,21.40770829877367
problem,21.40737942352512
global,21.293034876315147
elon,21.230115281628247
ethics,21.222602867180928
software,21.19873697242745
digital,21.17593909037103
finally,21.164580657161054
interesting,21.085746072612267
large,21.075709832860614
seen,21.03229231780179
development,20.970425220720543
ml,20.9473106139179
change,20.829990274316533
talking,20.82780161827523
questions,20.80601882711554
looks,20.766407757225583
old,20.628584580146025
potential,20.4980597480483
bubble bursting,20.456391731827406
dot com,20.43540358300108
set,20.42023102741379
having,20.411001624361514
wrong,20.3754081507072
uses,20.062451604053948
instead,20.050303871703044
training,20.047394526756655
chat,19.937410656306344
called,19.88352221072872
replace,19.819525390216572
asking,19.814563338074876
fuck,19.731540128366717
generation,19.73094220544648
investors,19.70381032868449
chatgpt write,19.640696716567486
